,citystate,pop,lat,lng
397,Alta UT,29525,40.560245,-111.82736
398,Alta Vista IA,625,43.148159,-92.423682
399,Alta Vista KS,848,38.86357,-96.479983
400,Altadena CA,36126,34.191187,-118.13919
401,Altamont IL,4430,39.063449,-88.748092
402,Altamont KS,1535,37.187298,-95.298302
403,Altamont MO,466,39.905017,-94.128155
404,Altamont NY,7164,42.70627,-74.019339
405,Altamont SD,2072,44.763703,-96.700541
406,Altamont TN,1429,35.425776,-85.763508
407,Altamont UT,725,40.370225,-110.446356
408,Altamonte Spring FL,21577,28.662728,-81.371908
409,Altavista VA,5693,37.122162,-79.291145
410,Altha FL,4497,30.531882,-85.17043
411,Altheimer AR,1311,34.306168,-91.828916
412,Altmar NY,1610,43.497022,-75.971934
413,Alto GA,8291,34.459079,-83.601996
414,Alto LA,12757,32.468938,-91.7643
415,Alto MI,7585,42.824312,-85.425554
416,Alto Pass IL,677,37.568142,-89.317179
417,Alton Bay NH,1538,43.484468,-71.24888
418,Alton IA,1700,42.978175,-96.017268
419,Alton IL,32704,38.908651,-90.156806
420,Alton KS,270,39.451422,-98.953875
421,Alton NH,3716,43.46302,-71.229709
422,Alton TX,75221,26.24153,-98.342647
423,Alton UT,131,37.469905,-112.548389
424,Alton VA,2450,36.589352,-79.020237
425,Altona IL,854,41.112828,-90.159826
426,Altona NY,2148,44.881584,-73.640767
427,Altonah UT,302,40.441894,-110.438499
428,Altoona FL,2705,29.021935,-81.632322
429,Altoona IA,16136,41.647549,-93.472415
430,Altoona KS,746,37.519669,-95.64833
431,Altoona PA,63424,40.520945,-78.408901
432,Altoona WI,7039,44.802142,-91.43825
433,Altura MN,1423,44.136114,-91.974474
434,Alturas CA,5490,41.476742,-120.545584
435,Altus AR,2048,35.404873,-93.811494
436,Altus OK,21636,34.648406,-99.320483
437,Alum Bank PA,1872,40.185833,-78.620591
438,Alum Bridge WV,354,39.042474,-80.688196
439,Alum Creek WV,2782,38.285814,-81.786258
440,Alum Ridge VA,7215,36.919523,-80.319054
441,Alva FL,4947,26.714657,-81.635055
442,Alva OK,6846,36.801564,-98.672162
443,Alvada OH,1032,41.046284,-83.376982
444,Alvarado MN,490,48.201968,-96.991457
445,Alvarado TX,19759,32.439499,-97.212971
446,Alvaton GA,1974,33.149902,-84.580576
447,Alvaton KY,4368,36.86296,-86.363213
448,Alverton PA,474,40.127866,-79.558608
449,Alvin IL,703,40.3007,-87.608003
450,Alvin SC,7337,33.405953,-79.937635
451,Alvin TX,46627,29.41195,-95.251535
452,Alvin WI,470,45.921841,-88.695308
453,Alviso CA,2077,37.427659,-121.968597
454,Alvo NE,330,40.899185,-96.403557
455,Alvord IA,462,43.320109,-96.290994
456,Alvord TX,3156,33.36982,-97.688488
457,Alvordton OH,788,41.662489,-84.435533
458,Alzada MT,159,45.156244,-104.261747
459,Ama LA,1316,29.943494,-90.292509
460,Amado AZ,2672,31.594194,-111.039693
461,Amagon AR,248,35.561559,-91.079636
462,Amana IA,1932,41.831284,-91.88545
463,Amanda OH,4512,39.625104,-82.755236
464,Amanda Park WA,398,47.470579,-123.907375
465,Amargosa Valley NV,1456,36.944007,-116.57755
466,Amarillo TX,220574,35.203238,-101.842052
467,Amawalk NY,1219,41.294618,-73.761079
468,Amazonia MO,952,39.909197,-94.911344
469,Amber OK,857,35.137691,-97.764566
470,Amberg WI,875,45.498878,-87.964256
471,Ambia IN,491,40.479328,-87.479554
472,Ambler AK,259,67.46951,-156.455652
473,Amboy CA,17,34.599012,-115.774907
474,Amboy IL,3970,41.704181,-89.34716
475,Amboy IN,1439,40.610505,-85.949726
476,Amboy MN,1129,43.890326,-94.177353
477,Amboy WA,2982,45.9195,-122.457418
478,Amboy WV,1077,39.304719,-79.571088
479,Ambrose GA,2248,31.536712,-82.997637
480,Ambrose ND,80,48.817195,-103.700676
481,Amelia Court Hou VA,10439,37.35017,-77.955177
482,Amelia Island FL,31008,30.635388,-81.468829
483,Amelia LA,109,29.66046,-91.111105
484,Amelia NE,141,42.18088,-99.008036
485,Amelia OH,22680,39.021138,-84.211174
486,Amenia ND,266,47.019395,-97.204808
487,Amenia NY,2457,41.844695,-73.554158
488,American Canyon CA,29876,38.148345,-122.249333
489,American Falls ID,6374,42.789876,-112.870714
490,American Fork UT,42384,40.392784,-111.794107
491,Americus KS,1360,38.509803,-96.260753
492,Ames IA,29359,42.029859,-93.639398
493,Ames NE,517,41.461253,-96.646344
494,Ames NY,3784,42.88239,-74.583522
495,Ames OK,501,36.242293,-98.181989
496,Ames TX,15949,30.072794,-94.763819
497,Amesbury MA,16283,42.855879,-70.936681
498,Amesville OH,1115,39.408641,-81.964976
499,Amherst CO,154,40.682386,-102.170567
500,Amherst Junction WI,1515,44.506458,-89.303754
501,Amherst NE,785,40.849494,-99.260949
502,Amherst NH,11247,42.856944,-71.607536
503,Amherst NY,50124,42.967232,-78.799849
504,Amherst SD,88,45.707426,-97.930078
505,Amherst TX,971,33.997608,-102.441614
506,Amherst VA,10576,37.602677,-79.050572
507,Amherst WI,3469,44.423052,-89.303482
508,Amidon ND,132,46.455951,-103.264741
509,Amigo WV,154,37.59211,-81.349145
510,Amistad NM,129,35.898276,-103.212954
511,Amite LA,13797,30.718208,-90.570493
512,Amity AR,3652,34.259362,-93.420551
513,Amity MO,337,39.883697,-94.513558
514,Amity OR,3794,45.115704,-123.174402
515,Amity PA,1391,40.061786,-80.194865
516,Amityville NY,27109,40.684197,-73.417106
517,Amlin OH,2262,40.07203,-83.179157
518,Amma WV,264,38.545518,-81.253182
519,Ammon ID,37966,43.517679,-111.990626
520,Ammon VA,1051,37.139672,-77.737189
521,Amoret MO,525,38.260508,-94.573423
522,Amorita OK,83,36.941221,-98.245821
523,Amory MS,12528,33.9844,-88.470917
524,Ampthill VA,42989,37.453158,-77.469798
525,Amsterdam MO,665,38.395385,-94.576282
526,Amsterdam OH,2208,40.473131,-80.959554
527,Amston CT,4083,41.628969,-72.364601
528,Anabel MO,334,39.736793,-92.351142
529,Anacoco LA,4584,31.221762,-93.358949
530,Anaconda MT,8933,46.129863,-112.97388
531,Anacortes WA,20429,48.500438,-122.630873
532,Anadarko OK,9541,35.072808,-98.24291
533,Anaheim CA,354475,33.842679,-117.954035
534,Anaktuvuk Pass AK,324,68.11878,-151.679005
535,Anamoose ND,469,47.870307,-100.252941
536,Anamosa IA,8682,42.107763,-91.285115
537,Anatone WA,273,46.128466,-117.088316
538,Anchor IL,236,40.544091,-88.526581
539,Anchorage AK,240361,61.211571,-149.876077
540,Anchorage KY,22011,38.253688,-85.561151
541,Anco KY,397,37.233926,-83.032125
542,Ancona IL,232,41.055118,-88.766039
543,Ancram NY,1164,42.085093,-73.642368
544,Ancramdale NY,775,42.038103,-73.58187
545,Andale KS,1676,37.782686,-97.640712
546,Andalusia AL,10673,31.297142,-86.490468
547,Andalusia IL,1284,41.435324,-90.728385
548,Anderson AK,226,64.300693,-149.1718
549,Anderson AL,2252,34.951777,-87.272327
550,Anderson CA,22841,40.457432,-122.328218
551,Anderson IN,73285,40.114577,-85.725305
552,Anderson Island WA,1037,47.15872,-122.696025
553,Anderson MO,5879,36.669224,-94.476648
554,Anderson OH,49311,39.080861,-84.378727
555,Anderson SC,81249,34.526051,-82.630436
556,Anderson TX,2534,30.544291,-96.001822
557,Andersonville GA,867,32.129907,-84.10101
558,Andersonville TN,4559,36.191514,-84.054399
559,Andes NY,1162,42.156925,-74.788726
560,Andice TX,23727,30.659364,-97.700939
561,Andover CT,3297,41.733215,-72.376719
562,Andover IA,108,41.992552,-90.238584
563,Andover KS,13764,37.698531,-97.117901
564,Andover MA,33201,42.64956,-71.156481
565,Andover ME,640,44.663703,-70.79666
566,Andover NH,2159,43.428668,-71.782952
567,Andover NJ,9193,40.961386,-74.752418
568,Andover NY,2269,42.157454,-77.792008
569,Andover OH,4676,41.622488,-80.575374
570,Andover SD,235,45.422171,-97.917497
571,Andreas PA,1304,40.746457,-75.834247
572,Andrew IA,434,42.158496,-90.60035
573,Andrew IL,7648,39.772842,-89.663991
574,Andrews IN,2304,40.861792,-85.606726
575,Andrews NC,5354,35.195948,-83.822836
576,Andrews SC,11060,33.452525,-79.560438
577,Andrews TX,14786,32.320125,-102.540926
578,Aneta ND,474,47.699262,-97.981406
579,Angela MT,31,46.771929,-106.315732
580,Angelica NY,1535,42.326339,-77.994671
581,Angels Camp CA,5292,38.064011,-120.55437
582,Angelus Oaks CA,535,34.153149,-116.948482
583,Angie LA,6342,30.922406,-89.856714
584,Angier NC,17571,35.489725,-78.724931
585,Angle Inlet MN,96,49.324924,-95.090248
586,Angleton TX,30309,29.181049,-95.446661
587,Angola IN,18029,41.656321,-85.019803
588,Angola LA,479,30.96562,-91.597948
589,Angola NY,9858,42.636581,-79.049651
590,Angoon AK,479,57.569832,-134.371052
591,Angora MN,701,47.757738,-92.641332
